1000
 ID       Arrival     CPU burst     Priority 
  1          0            7          17   
  2          5           23          20   
  3          9            5          20   
  4         10           11           5   
  5         12           29          16   
  6         17            7           4   
  7         19           29          17   
  8         23           10          18   
  9         28           26          15   
 10         33           17          20   
 11         36            4           3   
 12         39           16          12   
 13         40           17          17   
 14         43           12          18   
 15         45           10           9   
 16         47           29           7   
 17         50            8          11   
 18         53           16           9   
 19         58           10           5   
 20         59           20          11   
 21         60            9          19   
 22         64           12           7   
 23         66           16           8   
 24         67            5          11   
 25         71            9          15   
 26         72           22          19   
 27         73            1          18   
 28         76           25           9   
 29         77            7           7   
 30         80           23          12   
 31         85            3          16   
 32         90           17           5   
 33         94            9          17   
 34         99            2           7   
 35        103           21          17   
 36        107            8           3   
 37        111           13           2   
 38        116            6           2   
 39        119           16          14   
 40        120            2           8   
 41        122            1           1   
 42        124           16           6   
 43        129           19           3   
 44        134           10           5   
 45        138            8          16   
 46        140           22           9   
 47        144           29           7   
 48        148            2          13   
 49        150            5          10   
 50        152            2          13   
 51        153            4          17   
 52        155           11           9   
 53        156            9          20   
 54        160           10          12   
 55        163            9          10   
 56        165           22           2   
 57        166            5           4   
 58        170           21          12   
 59        175           30           3   
 60        180            6          20   
 61        183            7           5   
 62        186           27          17   
 63        188           25           9   
 64        193           20           8   
 65        197           14          14   
 66        201           12          17   
 67        205           25           5   
 68        209           18          13   
 69        213           16          13   
 70        214           12          19   
 71        215           16           7   
 72        218           29           7   
 73        221            6          20   
 74        223            5           9   
 75        228           30           5   
 76        231           14          14   
 77        232            6           1   
 78        235            4          17   
 79        236           15           6   
 80        240           18           2   
 81        243           19          17   
 82        245            5          17   
 83        250            8          13   
 84        253           17          16   
 85        258           26          10   
 86        262           12          17   
 87        265           21          20   
 88        269            7           2   
 89        272           20           8   
 90        273           29          10   
 91        275            6          10   
 92        280           18          20   
 93        282            5           8   
 94        283           22          19   
 95        287           25          14   
 96        292            7          17   
 97        294           27          16   
 98        296           15           5   
 99        301           27           7   
100        304           10           2   
101        308           10          16   
102        310            5          12   
103        315            2          19   
104        320           30          10   
105        323           10          13   
106        324           28          15   
107        329           30          16   
108        334           12          15   
109        338           10           5   
110        339           15           2   
111        340            7           1   
112        343           20           4   
113        348            2          12   
114        349           16          17   
115        353            5           7   
116        355            1          11   
117        356            3           6   
118        360           26          13   
119        365           22          12   
120        367           25           3   
121        371            9           6   
122        375           28          14   
123        377            3          14   
124        379           28          11   
125        380           27           5   
126        384           21           1   
127        389           11          14   
128        393           24          11   
129        394            9          13   
130        399           15          19   
131        403            6          20   
132        404           18          14   
133        408           29          17   
134        409           24          20   
135        413           21          13   
136        416           16          10   
137        420            8          11   
138        423           11          16   
139        425           27           2   
140        430            6          18   
141        434            4           7   
142        439           19          17   
143        443           18           3   
144        448           19          20   
145        451            1          17   
146        452           19          10   
147        454            3           2   
148        458           30           2   
149        461           23           6   
150        463           14           4   
151        467           12          14   
152        470            8           5   
153        474           21           5   
154        478           21          18   
155        482           24          10   
156        483           25           5   
157        486            4          16   
158        491           25          19   
159        494           22           4   
160        496            8           3   
161        497           13           8   
162        500           26           5   
163        501           25           6   
164        504            3          15   
165        506            3          13   
166        509           27          19   
167        510           12          16   
168        515           16           8   
169        518            5          17   
170        519            3          18   
171        520           19          11   
172        525           21          15   
173        528            9          14   
174        533           15           9   
175        537           26          20   
176        542           25          10   
177        544           29          14   
178        545           30           5   
179        547           11          12   
180        548           11          12   
181        553           18           3   
182        555            7           3   
183        558           20          11   
184        562           15           8   
185        566           15          17   
186        569           20           7   
187        573           20           1   
188        575            1           3   
189        579           26          16   
190        581           29          20   
191        583            5           4   
192        587           23          15   
193        590            1          20   
194        591           29           4   
195        592           12          14   
196        593            5          10   
197        598           14          12   
198        599           21           7   
199        604           27          10   
200        608            3          15   
201        609           25          14   
202        614           26          17   
203        619            3          12   
204        623           23          18   
205        624           25           7   
206        629            5          17   
207        633           11          13   
208        638           20          12   
209        640            3          15   
210        644           26          15   
211        646           19           3   
212        651           29          20   
213        653            7           5   
214        654           18           2   
215        656           22           5   
216        659            5          10   
217        663           30          14   
218        664           17          11   
219        668            3           1   
220        673           23          11   
221        676           24           3   
222        680           27           5   
223        683            6           6   
224        688           10           9   
225        689           27           8   
226        694           12          18   
227        696            3          17   
228        698           25          12   
229        699           22           7   
230        703           24           6   
231        706            1           8   
232        709           29           6   
233        712            6          12   
234        714            3          11   
235        717            4          19   
236        722           17          17   
237        724           14           3   
238        729            8          19   
239        731           29           3   
240        734           14          11   
241        739           14           9   
242        742           18           8   
243        744           11           1   
244        745           21           2   
245        746           17          10   
246        750           30           3   
247        752           22          19   
248        756            4           6   
249        758           30          20   
250        762            4           6   
251        765           20          16   
252        767           24          20   
253        770           29          10   
254        772           15           4   
255        775            8           4   
256        777            6          11   
257        778            2           6   
258        781           24           7   
259        783           22           2   
260        784           18           9   
261        787           26          19   
262        789           28           5   
263        791            7           4   
264        793            4           4   
265        794            1          17   
266        798           21          11   
267        801           13          19   
268        805           24          15   
269        810           18          14   
270        813           13          13   
271        818            3           6   
272        823            8           7   
273        826           25          18   
274        830            8          18   
275        831            6          11   
276        836           15          12   
277        839           17           2   
278        840           27          17   
279        843            8          12   
280        846           10           1   
281        851           22          15   
282        852            3          13   
283        856           10          20   
284        858            3           4   
285        859           19          13   
286        860           19          20   
287        865            3           7   
288        870           24           2   
289        875           28          18   
290        878           21           8   
291        880            4          14   
292        884           11           4   
293        886           19          10   
294        888           20           1   
295        892           27           3   
296        897           30           5   
297        899            3          11   
298        904           15           4   
299        907           20          12   
300        911            3          11   
301        915           23          13   
302        918           18           7   
303        921           21          13   
304        922           13          20   
305        926           28           9   
306        930           20           6   
307        933            5          17   
308        934           20           9   
309        939            3          18   
310        940            2           1   
311        944           16           5   
312        947           14           4   
313        952            7          12   
314        954           13          16   
315        957            2           9   
316        960           19          16   
317        963            3           7   
318        965           16          20   
319        969           12           4   
320        972           19          18   
321        975           18          13   
322        978           26          13   
323        983           18          16   
324        985           14          20   
325        986           14          13   
326        987            2           4   
327        988           25          12   
328        992           17          20   
329        996           20          16   
330        997            5          14   
331        998           10           5   
332        1001            9          16   
333        1006           21           3   
334        1011           25          20   
335        1016           28          16   
336        1017           10           9   
337        1018           12           4   
338        1019           21          19   
339        1022           16          12   
340        1023           17          14   
341        1025            1           6   
342        1027           19          20   
343        1028           11          18   
344        1032           12           1   
345        1034           26          14   
346        1039            4          20   
347        1044           21           9   
348        1047            3           5   
349        1049           30           6   
350        1051           15           7   
351        1052           13           8   
352        1057           11          16   
353        1060           24           5   
354        1062           19          12   
355        1067           25          16   
356        1072           18           5   
357        1074            6          14   
358        1076           10          11   
359        1080           20          12   
360        1081            4           2   
361        1083           19          10   
362        1087            1           9   
363        1089            1           2   
364        1092           30           4   
365        1096           15          18   
366        1098           23           7   
367        1100           15           9   
368        1101           20          14   
369        1102            3          11   
370        1102           22          11   
371        1102           11          15   
372        1102           15          13   
